filepath,song_id,track_id,artist_name,title,release,text_blob,weak_label,audio_vec
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\A\TRAAAVO128F93133D4.h5,SOQHXMF12AB0182363,,JennyAnyKind,Young Boy Blues,I Need You,JennyAnyKind Young Boy Blues I Need You,JennyAnyKind,"[ 2.1877505e+02  1.4676500e+02 -1.0021000e+01  5.0000000e+00
  0.0000000e+00  1.0000000e+00  4.5281185e+01  4.1843468e+01
  1.3441208e+01 -5.8976994e+00 -3.6956848e+01 -1.7152761e+01
  1.5942055e+01  2.1604021e+00 -8.5674162e+00  5.1584492e+00
 -8.5074949e+00 -1.4012701e+01  4.2743187e+00  3.6877232e+01
  3.1485424e+01  2.2863724e+01  2.3368734e+01  1.6111824e+01
  2.4126102e+01  1.9233444e+01  1.8860405e+01  1.4019618e+01
  1.1216526e+01  1.6345411e+01  2.5538054e-01  2.9506725e-01
  2.7119887e-01  2.2129184e-01  2.0547210e-01  3.1131187e-01
  2.9835194e-01  6.8599999e-01  5.0470102e-01  1.7505006e-01
  2.2877397e-01  2.4128184e-01  2.9110482e-01  3.2489550e-01
  2.3674555e-01  2.1591775e-01  2.8078198e-01  3.3276755e-01
  2.7705148e-01  3.8957080e-01  3.0203515e-01  2.1274222e-01
  2.9675791e-01  2.9158247e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABCL128F4286650.h5,SOKEJEJ12A8C13E0D0,,Wayne Watson,The Urgency (LP Version),The Way Home,Wayne Watson The Urgency (LP Version) The Way Home,Wayne Watson,"[ 2.4521098e+02  1.1797500e+02 -7.5450001e+00  7.0000000e+00
  1.0000000e+00  4.0000000e+00  4.5012356e+01  3.5024334e+01
 -2.0166931e+01 -1.8129432e+00  7.1379547e+00 -1.4173429e+01
  3.0859697e+00 -5.3994312e+00  2.7896091e-01 -1.4522812e+00
  4.1211852e-01  1.5649647e+00  5.8323493e+00  4.6383217e+01
  4.8816784e+01  3.8243904e+01  2.4614975e+01  3.3618145e+01
  2.8059067e+01  2.4937222e+01  1.9174654e+01  2.0001682e+01
  1.7474731e+01  2.0778763e+01  4.6858764e-01  4.5674023e-01
  5.7513618e-01  2.5212359e-01  2.8797099e-01  3.3701891e-01
  2.7490669e-01  4.6732914e-01  3.2206431e-01  4.2200756e-01
  2.1696469e-01  2.4007188e-01  3.2503867e-01  2.7585110e-01
  3.2998532e-01  1.8698145e-01  2.4933264e-01  3.1410831e-01
  2.1798456e-01  3.5756010e-01  2.5475669e-01  3.0977497e-01
  2.0455383e-01  1.9994141e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABDL12903CAABBA.h5,SOMUYGI12AB0188633,,Andy Andy,La Culpa,Placer & Castigo,Andy Andy La Culpa Placer & Castigo,Andy Andy,"[ 2.2635057e+02  1.3003999e+02 -6.6320000e+00  9.0000000e+00
  1.0000000e+00  4.0000000e+00  4.7045204e+01 -5.3809638e+00
 -2.5399666e+01  2.2854810e+00  1.3250282e+01  1.3970698e+01
 -3.3240154e+01 -9.9018764e+00  2.4477508e+00  4.2989135e+00
 -4.7812563e-01  1.5431751e+00  3.5542269e+00  4.5573891e+01
  3.7779331e+01  4.4998383e+01  3.2883923e+01  3.9381031e+01
  2.8428331e+01  2.8508242e+01  2.3628775e+01  2.0654293e+01
  2.2056530e+01  1.6760031e+01  3.4003192e-01  4.6235323e-01
  3.3536765e-01  2.2807312e-01  4.0773121e-01  2.3153450e-01
  3.4896189e-01  1.7281359e-01  2.4020700e-01  4.6410814e-01
  2.2641812e-01  4.2747787e-01  2.5776100e-01  3.2908773e-01
  2.7986085e-01  1.9134243e-01  3.5280222e-01  2.0262925e-01
  3.2589895e-01  1.8441531e-01  2.3209879e-01  3.4646544e-01
  2.0079829e-01  3.3829528e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABJL12903CDCF1A.h5,SORAMLE12AB017C8B0,,Bob Azzam,Auguri Cha Cha,Arrivederci,Bob Azzam Auguri Cha Cha Arrivederci,Bob Azzam,"[ 1.9184280e+02  1.3733400e+02 -7.7500000e+00  1.0000000e+01
  0.0000000e+00  1.0000000e+00  4.5577763e+01  3.8467140e+01
 -2.8687717e+01 -5.5746012e+00 -1.6913551e+01  3.1212056e+00
  4.2709541e+00 -2.2197109e+01  7.6160221e+00  5.7045875e+00
 -4.2518096e+00  1.8353302e+01  4.1347504e+00  4.9751125e+01
  3.8468933e+01  4.5276329e+01  2.6146978e+01  3.2290108e+01
  3.0420666e+01  2.4318398e+01  1.8916237e+01  2.0909592e+01
  2.2151190e+01  2.2333237e+01  3.9828888e-01  3.5370973e-01
  2.2770834e-01  2.1673889e-01  2.5264305e-01  5.0294030e-01
  4.1954723e-01  2.7562779e-01  2.7561527e-01  1.5684028e-01
  2.9078749e-01  2.8319305e-01  3.2556048e-01  2.7395847e-01
  1.7453770e-01  1.6416354e-01  1.8572976e-01  3.6233985e-01
  3.1803212e-01  2.5520471e-01  2.6838934e-01  1.9139279e-01
  3.5266155e-01  2.8286421e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABJV128F1460C49.h5,SOBONFF12A6D4F84D8,,Lionel Richie,Tonight Will Be Alright,Dancing On The Ceiling,Lionel Richie Tonight Will Be Alright Dancing On The Ceiling,Lionel Richie,"[ 3.0738239e+02  1.2519700e+02 -8.3459997e+00  3.0000000e+00
  1.0000000e+00  3.0000000e+00  4.5747147e+01  4.4700684e+01
  2.2545370e+01  9.9170179e+00  1.0745384e+01 -1.3228768e+01
  4.9221177e+00 -4.3769803e+00  2.0309862e+01  2.3656001e+00
  1.0392522e+00 -2.4398956e+00  5.3303127e+00  3.3477104e+01
  3.2114185e+01  2.5637770e+01  2.3397572e+01  2.5189449e+01
  1.8808432e+01  1.6165049e+01  1.6459337e+01  1.4092350e+01
  1.3413575e+01  1.3740952e+01  3.0015710e-01  3.8698870e-01
  4.2437819e-01  4.7465944e-01  2.0698306e-01  3.7046754e-01
  2.1463969e-01  2.3220414e-01  4.1486925e-01  1.6466039e-01
  2.6030481e-01  1.6249670e-01  2.3676175e-01  3.1293648e-01
  3.5537243e-01  3.1059343e-01  1.7214109e-01  3.3428448e-01
  2.1139276e-01  2.0738755e-01  3.4927133e-01  1.4726876e-01
  2.3203973e-01  1.7018725e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABLR128F423B7E3.h5,SOHUOAP12A8AE488E9,,Blue Rodeo,Floating,Outskirts,Blue Rodeo Floating Outskirts,Blue Rodeo,"[ 4.9112772e+02  1.1982600e+02 -8.5760002e+00  7.0000000e+00
  1.0000000e+00  4.0000000e+00  4.2385052e+01 -5.9656181e+01
  4.3234459e-01  1.2455352e+01 -3.5520842e+00 -6.1526027e+00
 -3.1306303e+00 -1.7272991e+00  3.0490971e+00 -5.9831672e+00
  7.6615014e+00  5.4668846e+00  6.8210039e+00  5.1429146e+01
  5.2045082e+01  3.8768772e+01  2.8485147e+01  3.2032516e+01
  2.1653820e+01  2.2468348e+01  2.0282524e+01  1.9170450e+01
  1.6240601e+01  1.6146368e+01  4.2500490e-01  2.7535319e-01
  5.8429420e-01  2.4323526e-01  2.7148834e-01  1.9195086e-01
  2.7350983e-01  3.4512839e-01  2.4671254e-01  5.4233658e-01
  2.0108354e-01  2.8449571e-01  3.3751273e-01  2.2471109e-01
  3.6184096e-01  2.2014984e-01  2.6100373e-01  2.1132620e-01
  2.5268623e-01  2.9000214e-01  2.2202596e-01  3.3312026e-01
  1.6257229e-01  2.4748252e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABNV128F425CEE1.h5,SOUQQEA12A8C134B1B,,Richard Souther,High Tide,Cross Currents,Richard Souther High Tide Cross Currents,Richard Souther,"[ 2.2859711e+02  1.2775600e+02 -1.6110001e+01  8.0000000e+00
  1.0000000e+00  5.0000000e+00  3.5481007e+01 -4.8253140e+00
  1.6110973e+01  3.1514072e+01 -5.9483118e+00 -8.9126120e+00
  7.2242789e+00 -1.4565455e+01 -2.1360538e+00 -2.9789472e+00
  8.4645529e+00  8.0113214e-01  6.4865413e+00  4.9287220e+01
  4.9542694e+01  3.7095264e+01  3.0753092e+01  3.1302658e+01
  2.3863911e+01  1.9864220e+01  1.6927423e+01  1.8469341e+01
  1.9168314e+01  1.7593973e+01  3.8441649e-01  4.7091967e-01
  3.2120720e-01  2.1011311e-01  2.8645033e-01  3.7935308e-01
  4.2252219e-01  5.3330022e-01  4.7302642e-01  3.7593657e-01
  3.2602432e-01  2.0613107e-01  2.7142221e-01  3.5013846e-01
  2.4894984e-01  1.7405392e-01  2.3142058e-01  2.7893314e-01
  3.2682353e-01  3.9749837e-01  3.1370342e-01  3.0726287e-01
  3.0536687e-01  2.2222286e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABRB128F9306DD5.h5,SOILPQQ12AB017E82A,,Faiz Ali Faiz,Sohna Nee Sohna Data,Panjtan Ka Ghulam,Faiz Ali Faiz Sohna Nee Sohna Data Panjtan Ka Ghulam,Faiz Ali Faiz,"[ 5.9924854e+02  9.9273003e+01 -8.0319996e+00  6.0000000e+00
  1.0000000e+00  4.0000000e+00  4.5621372e+01  5.3550995e+01
  6.2737778e+01  3.4631634e+01 -1.1320418e+01 -6.4421620e+00
  6.6611128e+00  6.9134946e+00  3.1778255e+00  1.4895989e+01
  2.9733953e+00  1.5260661e+00  3.4363515e+00  4.2825359e+01
  4.7624123e+01  3.5176403e+01  3.3184067e+01  3.2012779e+01
  3.1491385e+01  1.7331715e+01  1.9103981e+01  1.5814004e+01
  2.0448912e+01  1.8789810e+01  4.3281206e-01  3.5854736e-01
  2.6151091e-01  2.0279594e-01  2.9808217e-01  6.1143380e-01
  5.5375618e-01  5.0474995e-01  3.8728204e-01  3.4577233e-01
  4.0127099e-01  3.8559726e-01  2.8926069e-01  2.7622414e-01
  2.1075508e-01  1.9076596e-01  2.3000430e-01  3.0214259e-01
  3.1300110e-01  2.9460081e-01  2.4332717e-01  2.2694816e-01
  3.0003700e-01  2.8664285e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABVM128F92CA9DC.h5,SOXLBJT12A8C140925,,Tesla,Caught In A Dream,Gold,Tesla Caught In A Dream Gold,Tesla,"[ 2.9029831e+02  1.5006200e+02 -5.2709999e+00  7.0000000e+00
  1.0000000e+00  4.0000000e+00  4.8605591e+01  4.3276741e+01
  9.9957800e+00 -6.1113462e+00 -2.6357084e+01 -1.1007885e+01
  1.1552539e+01  1.2258726e+00 -5.8318739e+00  7.6545671e-02
 -1.1292452e+00  2.0877092e+00  4.5768824e+00  2.8168480e+01
  2.4357801e+01  3.0307346e+01  2.5602459e+01  2.5209869e+01
  2.0495550e+01  1.7287992e+01  1.4850375e+01  1.4496161e+01
  1.3981070e+01  1.4130296e+01  3.4877282e-01  2.5971755e-01
  3.4948799e-01  2.0365986e-01  3.4381369e-01  1.8190384e-01
  1.9534254e-01  3.4713703e-01  1.8330649e-01  3.8170192e-01
  1.7720312e-01  1.8210216e-01  3.7463814e-01  2.5137028e-01
  3.5203058e-01  2.1300901e-01  2.8895280e-01  2.0331863e-01
  1.7483304e-01  3.3733577e-01  1.8874319e-01  3.7842855e-01
  1.7570944e-01  1.8040703e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABXG128F9318EBD.h5,SOZVMJI12AB01808AF,,lextrical,Synthetic Dream,Whatever Happened To Boredom?,lextrical Synthetic Dream Whatever Happened To Boredom?,lextrical,"[ 1.65694244e+02  1.38330994e+02 -6.78700018e+00  7.00000000e+00
  1.00000000e+00  4.00000000e+00  4.73590431e+01 -1.09849386e+01
  1.04804697e+01  3.50984991e-01  9.60766673e-01 -1.04952221e+01
 -9.80313206e+00 -1.86844215e+01  6.06006682e-01 -1.12090054e+01
  4.39429188e+00  1.80769157e+01  4.49126530e+00  4.28976669e+01
  2.43404751e+01  2.54076252e+01  2.31987686e+01  1.85881042e+01
  1.67246151e+01  1.61281357e+01  1.37428341e+01  1.59545784e+01
  1.24104538e+01  1.26347971e+01  7.77693331e-01  1.63133338e-01
  2.10445002e-01  7.25416690e-02  2.31289998e-01  8.73316675e-02
  1.50033340e-01  7.47264981e-01  1.90715000e-01  1.69249997e-01
  7.31849968e-02  1.82634994e-01  2.81858921e-01  1.45483956e-01
  2.00940326e-01  7.35471174e-02  1.95753172e-01  8.24817643e-02
  1.00038238e-01  2.74979591e-01  1.30349830e-01  2.51039296e-01
  6.77013323e-02  1.16312474e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABYN12903CFD305.h5,SOWTBJW12AC468AC6E,,Jimmy Wakely,Broken-Down Merry-Go-Round,1942-1952 Jimmy Wakely,Jimmy Wakely Broken-Down Merry-Go-Round 1942-1952 Jimmy Wakely,Jimmy Wakely,"[ 1.51849335e+02  8.61859970e+01 -1.52209997e+01  1.00000000e+00
  1.00000000e+00  3.00000000e+00  3.68307457e+01 -6.20501938e+01
  8.45238800e+01 -7.67131615e+00 -1.25149555e+01  1.74438019e+01
 -2.76744099e+01 -4.16697407e+00  1.98513260e+01  2.20293212e+00
 -2.71084547e+00  2.00117326e+00  5.06026363e+00  6.59261169e+01
  4.58031883e+01  5.65689011e+01  3.97520599e+01  3.05091476e+01
  3.27817993e+01  2.80802536e+01  3.80045166e+01  2.30691338e+01
  2.27384567e+01  3.04731541e+01  3.59037459e-01  4.15463686e-01
  2.47222483e-01  3.56662750e-01  1.55974239e-01  3.68833721e-01
  3.88899297e-01  2.50074953e-01  5.10489464e-01  1.61306798e-01
  1.78142861e-01  1.59850121e-01  2.76287943e-01  3.54453653e-01
  2.55218416e-01  3.24642390e-01  1.70563653e-01  3.35181117e-01
  3.62258285e-01  2.19297037e-01  3.63077819e-01  1.48308367e-01
  2.25816056e-01  1.98892787e-01]"
C:\Users\mshakur\Downloads\Modelling\deep_learning\millionsongsubset\A\A\B\TRAABYW128F4244559.h5,SOBEBDG12A58A76D60,,Alice Stuart,Kassie Jones,All The Good Times,Alice Stuart Kassie Jones All The Good Times,Alice Stuart,"[ 2.2078648e+02  1.1038200e+02 -8.5139999e+00  1.1000000e+01
  1.0000000e+00  1.0000000e+00  4.3290771e+01 -2.8055958e+01
  3.3278656e+01  5.1024795e+00 -3.8434927e+00  3.7195108e+00
 -4.6244783e+00 -4.2578697e+00  8.6093836e+00  1.4595785e+00
 -3.0313382e+00 -3.8632247e-01  4.9242821e+00  3.6523781e+01
  4.8004742e+01  3.8350296e+01  2.4176176e+01  3.0945553e+01
  2.3310421e+01  2.2268471e+01  2.2674980e+01  1.6377569e+01
  1.8410948e+01  2.1015091e+01  1.5823068e-01  2.5859421e-01
  3.3736956e-01  2.8524879e-01  1.5754589e-01  4.6556401e-01
  5.6091303e-01  1.9252899e-01  2.2654347e-01  1.3322464e-01
  4.6879709e-01  5.8063406e-01  1.7461091e-01  2.5623983e-01
  3.3761194e-01  2.4463724e-01  1.6491377e-01  2.9590973e-01
  3.3594823e-01  1.8139794e-01  2.3470905e-01  1.6652934e-01
  3.0697638e-01  3.7421814e-01]"
