z1,z2,z3,z4,z5,z6,z7,z8,weak_label,artist_name,title,release
-0.4504748,0.93088615,1.7164003,0.6051603,0.08554575,0.9142295,-0.5741394,-0.32841656,SUE THOMPSON,SUE THOMPSON,James (Hold The Ladder Steady),Sue Thompson - Her Very Best
-1.4786962,-0.8049099,-2.043538,-0.63237286,1.3371094,-1.0480396,0.84837884,1.0520829,Five Bolt Main,Five Bolt Main,Made Like This (Live),Live
-2.1413548,0.39638078,1.0135773,0.21999884,1.5834337,1.0182595,-0.2823029,1.082891,Clp,Clp,Superconfidential,Strictly Confidential
0.15362203,-0.45916584,-1.4852121,-0.57490623,0.07804921,-1.3026518,0.7441345,-0.03486625,Tim Wilson,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),The Real Twang Thang
-0.110740975,0.6147288,0.5608345,0.03468015,0.025251497,0.14120013,-0.024677712,-0.52720386,Willie Bobo,Willie Bobo,Spanish Grease,Willie Bobo's Finest Hour
-0.3075396,1.7833636,2.1206656,1.0244337,-0.11767836,1.6536616,-1.0529555,-0.79101956,Faye Adams,Faye Adams,Crazy Mixed Up World,Shake A Hand
-0.88786596,1.8156593,2.6753683,1.4562622,0.2986236,2.1245472,-1.1476078,-0.6905793,Terry Callier,Terry Callier,Do You Finally Need A Friend,Occasional Rain
-0.31919047,-0.6755158,-0.7079696,-0.7124403,0.53097284,-0.7026363,0.6265196,0.37587532,John Wesley,John Wesley,The Emperor Falls,The Emperor Falls
-0.91799617,-0.5648792,-2.0330877,-0.52923685,0.81215066,-1.2586559,0.7771907,0.77297544,The Shangri-Las,The Shangri-Las,Twist and Shout,Best of The Shangri-Las
-0.10833311,0.13085572,-0.13764852,-0.36647463,0.40532452,-0.0574264,0.22418031,0.059553955,Billie Jo Spears,Billie Jo Spears,It Makes No Difference Now,20 Of Her Best
0.34466478,0.7958934,3.1775832,0.062587835,0.2554029,1.4474446,-0.44802248,-0.5466578,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),Who Is Mike Jones?
-0.7768002,-0.51332486,-1.0122621,-0.39991388,0.9680428,-0.5074688,0.44092116,0.7453622,Sierra Maestra,Sierra Maestra,¿Dónde va Chichi?,Tibiri Tabara
-1.8119478,-1.2274908,-2.7655566,-0.6121709,1.5365008,-1.4419917,1.137448,1.4815161,Butthole Surfers,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",Piouhgd + Widowermaker!
-0.8707518,1.3062443,2.4589326,0.7643439,0.5075758,1.8236308,-0.8388635,-0.21349697,Despina Vandi,Despina Vandi,OUTE ENA EFHARISTO,Profities
-0.20404299,1.751283,-0.16135868,1.3279127,-1.2376063,-0.2863631,-0.48555642,-1.8572807,Javier Navarrete,Javier Navarrete,Midnight Swim,Cracks
-0.02613895,1.5009904,3.047131,0.9033101,0.05859798,1.6496415,-0.93679565,-0.83172506,Jacob Young,Jacob Young,In A Subtle Way,Pieces Of Time
-1.0273087,-1.0431873,-2.3492079,-0.8081967,1.1119798,-1.6208968,1.259231,0.8389989,Scarlet's Remains,Scarlet's Remains,Spin,The Palest Grey
-1.8757405,-1.6313726,-3.185653,-0.9772851,1.9348133,-1.9813068,1.5213727,1.7193031,The Suicide Machines,The Suicide Machines,Burning In The Aftermath,A Match & Some Gasoline
1.3918915,-0.44785798,0.03539888,-0.8944271,-0.582791,-0.86113626,0.5556824,-0.86572933,The Rolling Stones,The Rolling Stones,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93
1.8901361,0.289196,0.99715215,-0.39132622,-1.1660041,-0.40401217,-0.15021524,-1.2942448,Roberto Torres,Roberto Torres,Sabor Guajiro,Lo Mejor con La Orq. Broadway
-0.1821847,1.5607235,0.7886407,1.1778477,-0.84350073,0.2437787,-0.55580574,-1.5314595,Loudon Wainwright III,Loudon Wainwright III,Human Cannonball,Grown Man
1.2609673,0.27611458,1.6286399,-0.64447004,-0.40941373,0.014908551,0.017217234,-0.6613434,R.L. Burnside,R.L. Burnside,Glory Be,A Bothered Mind
-2.0972981,-0.23124123,-1.2795142,0.13241109,1.472504,-0.43724164,0.31845698,1.2699635,Stevie Ray Vaughan,Stevie Ray Vaughan,Crossfire,Greatest Hits
0.3485199,-0.032250058,-0.12188127,-0.32521918,-0.2325245,-0.66374975,0.14695291,-0.29040098,John Hammond,John Hammond,I Can't Be Satisfied,Bluesman
-0.21256326,3.0499935,7.746917,1.4267365,1.22021,4.081401,-2.645848,-0.3490393,Casiotone For The Painfully Alone,Casiotone For The Painfully Alone,Nashville Parthenon,Etiquette
-2.1789193,-0.65386605,-0.7265028,-0.06464548,1.2396321,-0.024698535,0.3795312,1.168142,Ec8or,Ec8or,Cocain Ducks,Ec8or
-1.6605206,-1.1778061,-2.6596172,-0.84539354,1.8143519,-1.2507089,1.1251854,1.4454914,The New York Dolls,The New York Dolls,Human Being,Too Much Too Soon
0.4714341,0.18764396,0.57461816,0.02634748,-0.44326618,-0.1447636,0.14878665,-0.6198968,Eliane Elias,Eliane Elias,The More I See You,Bossa Nova Stories
-0.85163665,0.80167484,1.969475,0.4863894,0.69355536,1.3387822,-0.5381052,0.12783583,Lost Boyz,Lost Boyz,Certain Things We Do,Love_ Peace & Nappiness
-0.2680952,-0.9505357,-1.5976114,-0.8076367,0.53391856,-1.1810884,0.8537941,0.42826784,The Germs,The Germs,Forming,Germicide
1.341687,0.269733,1.400645,-0.36399123,-0.4921696,-0.07100573,-0.08830549,-0.8747608,Yamandu Costa,Yamandu Costa,Mafuá,Mafuá
-0.40528452,-0.5079061,-0.4720892,-0.6646821,0.7474209,-0.4567386,0.38096777,0.6069788,Chris Rea,Chris Rea,Driving Home For Christmas,The Road To Hell Part 2
-0.51350856,1.4941443,2.854695,0.78083867,0.02739688,1.5917684,-1.0128711,-0.43926424,Perrey And Kingsley,Perrey And Kingsley,Spooks In Space,Vanguard Visionaries
0.15031594,-0.10155463,-0.26253,-0.30349153,-0.089953005,-0.615699,0.33211392,-0.20500119,Eurythmics,Eurythmics,Tous Les Garçons Et Les Filles,Be Yourself Tonight
1.2435007,0.32614496,1.3689997,-0.15472847,-0.7635507,0.1357983,-0.07813318,-0.87916285,Francis Dunnery,Francis Dunnery,Too Much Saturn,Hometown 2001
1.8622123,-0.24183497,-0.14713812,-0.8636015,-0.885764,-1.2446882,0.5166565,-1.1795188,John Cale,John Cale,Movement 4 [from Kiss] (Album Version),Eat / Kiss: Music For The Films By Andy Warhol
2.2815025,-0.1581567,0.5219361,-0.9082869,-1.3955361,-1.0176244,0.45543033,-1.6386067,Suzanne Ciani,Suzanne Ciani,Stream,The Ultimate Most Relaxing New Age Piano in the Universe
-0.53162116,0.18704104,1.560434,-0.16634458,0.5500748,0.97359294,-0.13342401,0.26422876,Vickie Winans,Vickie Winans,Make Me Over,Classic Gold: Best of All
-2.5025814,-1.4026716,-2.974688,-0.74494857,2.0011656,-1.5906681,1.1600456,1.8744522,The Berzerker,The Berzerker,Deform (live),The Berzerker
0.8303483,-0.20933902,-0.08914324,-0.6889525,-0.20971368,-0.6794588,0.33581463,-0.5721596,Kings Of Leon,Kings Of Leon,Wicker Chair,Holy Roller Novocaine
-0.4719248,-0.7511791,-0.16638663,-0.6535132,0.49416286,-0.3891596,0.53845125,0.54012626,Edith Lefel,Edith Lefel,An ti chans',Jeux de dames_ vol. 1 (réalisation Ronald Rubinel)
-1.7992163,-0.62110174,-0.79307616,-0.34420577,1.5598967,-0.588969,0.34062117,1.5007002,Taras,Taras,I Will Love Again (JJ's Club Radio),I Will Love Again
-0.77164024,-0.9940007,-1.545185,-0.761682,0.91013986,-1.1282631,0.82785267,0.8058321,NOFX,NOFX,Stickin In My Eye,White Trash ......
0.5361369,-0.03598246,-0.13474146,-0.14974144,-0.40909007,-0.6346278,0.3042505,-0.5617195,Murskahumppa,Murskahumppa,Ota kiinni,Murskapunkkia
0.683039,0.028368182,-0.11967551,-0.50832796,-0.320222,-0.52009076,0.372505,-0.686227,Soda Stereo,Soda Stereo,Entre Caníbales,Canción Animal
3.1706517,2.0759544,4.8415236,0.26073655,-1.8679774,1.6077118,-1.2090846,-2.9317925,Bruce Rowland,Bruce Rowland,Rosemary Recalls,The Man from Snowy River
-2.001286,-0.1428798,-0.4823735,0.34452724,1.0950501,0.052403614,-0.005143743,1.1708289,Xcultures,Xcultures,Sudanese Dance,One World One People
-1.0303423,-0.27706823,-0.8708175,-0.016315743,0.6197912,-0.55485183,0.4501413,0.47397128,White Heart,White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),Tales Of Wonder
-1.068159,2.1011908,5.748537,1.088797,1.4098182,3.564873,-1.7160789,0.1402135,Heavy D / McGruff,Heavy D / McGruff,Wanna Be A Player,Waterbed Hev
-2.0997696,-0.92602456,-2.5406475,-0.40379727,1.7932043,-1.1810198,1.0725263,1.4219941,Van Halen,Van Halen,Panama (Remastered Album Version),The Best Of Both Worlds
-1.0474632,0.43807343,2.2492638,0.0017184094,0.97197074,1.4091887,-0.39443925,0.45662042,Black Eyed Peas,Black Eyed Peas,Let's Get It Started,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness
0.16782767,-0.22467053,-0.8813137,-0.44207412,0.18767475,-0.7930428,0.42736349,0.09872389,Nine Inch Nails,Nine Inch Nails,Metal,Things Falling Apart
-0.6589422,-0.51584995,-0.88949054,-0.6097103,0.68093157,-0.6465749,0.4662081,0.4575748,Nick Cave & The Bad Seeds,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),Your Funeral... My Trial (2009 Digital Remaster)
0.6661047,0.32087559,1.5352031,-0.37522537,-0.1683676,0.305786,-0.0836066,-0.7666397,Nadine Renee,Nadine Renee,Next Time,Oasis of Love
-0.28360486,-0.0574878,0.3549938,-0.5303847,0.61736417,0.29582447,0.28848067,0.13269436,Lesley Gore,Lesley Gore,It's My Party,60's Triple set
-0.9213019,-1.1176125,-1.8621047,-0.6698683,0.9785082,-1.4660835,1.0310109,0.85750645,Smartbomb,Smartbomb,Complicate It,Yeah.  Well_ Anyway....
-1.8846345,-0.43308333,-2.0003893,-0.37036595,1.6794652,-0.97899145,0.6667165,1.6073841,Suburbs,Suburbs,Monde De Fou,Un Titre de Toune
0.10419449,-1.085919,-3.4187505,-0.9448461,0.33701125,-2.525443,1.3704463,-0.019287445,Emperor,Emperor,Opus a Satana (Part 2),Live Inferno
0.23117867,-0.45760432,-0.14636254,-0.5723299,0.10091682,-0.39076757,0.48447183,-0.2654603,Julien Clerc,Julien Clerc,This Melody (Live),Vendredi 13 - 1981
-0.5526176,-0.34081694,-0.33494014,-0.37808096,0.6169887,-0.31853887,0.39766145,0.42996836,Glen Campbell,Glen Campbell,I'm Gone This Time,Unconditional Love
1.2088927,0.7601922,0.3882134,0.25258005,-1.2122716,-0.55542475,-0.044583533,-1.60542,T.G. Sheppard,T.G. Sheppard,You Feel Good All Over,The Very Best Of
0.3635375,1.909063,2.0412962,1.2848915,-1.060851,0.9972377,-0.90695167,-1.8666934,Slim Whitman,Slim Whitman,Indian Love Call,Country Lovers. Vol. 3
1.5544987,-0.022722606,0.8685578,-0.27717042,-0.96324104,-0.46440688,0.039626032,-1.3665782,Savage Garden,Savage Garden,You Can Still Be Free,Affirmation
1.3214014,-0.33380535,1.0846235,-0.49380484,-0.47461537,-0.4237003,0.15482122,-0.6963205,Queens Of The Stone Age,Queens Of The Stone Age,I Never Came,Lullabies To Paralyze
0.26213676,0.63625056,1.1126345,-0.16331077,-0.2929354,0.36923143,-0.09321883,-0.5944053,Hank Penny & The Lincoln Penny Orchestra,Hank Penny & The Lincoln Penny Orchestra,Dixie,It's War Again
-0.79583234,-1.2767758,-2.5190842,-0.8909405,1.0937096,-1.839752,1.4118528,0.86614853,Inspiral Carpets,Inspiral Carpets,Commercial Reign,The Singles
-0.7721217,-0.70480037,-1.3549294,-0.47805026,0.86968887,-1.0015924,0.7970828,0.6696012,Borialis,Borialis,Hourglass,What You Thought You Heard
-0.11938465,-0.734327,-1.2827588,-0.8553166,0.4880466,-1.3043967,0.8251792,0.22626393,The Dirty Skirts,The Dirty Skirts,Wake,Daddy Don't Disco
0.32451084,0.45845768,1.3013889,0.02127593,0.37789005,0.6879829,-0.034252424,-0.39785954,Flor Silvestre,Flor Silvestre,Caricia Y Herida,15 Exitos Vol. 2 Flor Silvestre
-1.1817334,-0.61051446,-1.3440839,-0.32990673,1.0037858,-0.644447,0.61922115,0.85477734,Bézu,Bézu,Le tortillard,Le top du père Nöel
-1.2313182,1.3347746,3.6149004,0.9110591,1.0412854,2.4861925,-1.1231152,0.30202526,Redman,Redman,WKYA (drop),Malpractice
-0.1578763,-0.6335381,-0.81344265,-0.80306894,0.6872011,-0.48732254,0.5633296,0.47161114,Solistiyhtye Suomi,Solistiyhtye Suomi,Teräslintu,20 Suosikkia / Rilluttele yö
-0.4467758,1.9268116,3.3296669,0.7378226,0.7243038,2.4538052,-1.1548918,-0.44388056,Eddie Cantor,Eddie Cantor,Now's The Time To Fall In Love,The Fabulous Eddie Cantor
-2.294972,-1.0500435,-1.7403328,-0.41485804,1.608125,-0.6764374,0.6796081,1.5920651,Schizoid,Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),Grim Prospects Remixes - Grim Prospects Will Never End
0.594107,1.2642046,2.3205082,0.36700332,-0.29346436,0.9744646,-0.556575,-0.98535055,Kai Winding,Kai Winding,Mangos,The Incredible Kai Winding Trombones
1.5661318,1.6989822,3.3842523,0.62729985,-1.0457153,1.3394656,-0.6522149,-1.6491089,Sonny Simmons,Sonny Simmons,A Distant Voice,Staying on the Watch
1.3370559,1.9832104,3.74384,0.68333906,-0.5734581,1.8498019,-0.91062355,-1.7715275,Mira,Mira,Openbare Weg,Openbare Weg
-1.8628254,0.82308066,2.7724025,0.5764403,1.4136161,1.9957641,-0.83444047,0.9544078,Citizen Kaned,Citizen Kaned,President Johnson,Tip World Singles 2000
1.3130687,-0.26763323,0.38979,-0.6209115,-0.7560791,-0.5828015,0.15753184,-1.0354908,The Brooklyn Tabernacle Choir,The Brooklyn Tabernacle Choir,Lead Me Lord,Praise Him...Live!
0.53263867,0.031311404,1.3406258,-0.48453653,0.05182985,0.29001293,-0.029918421,-0.19070226,Ellen McIlwaine,Ellen McIlwaine,Spontanous Combustion,Spontanous Combustion
-0.0056060944,0.95985496,1.286658,0.5925134,-0.53451174,0.45471987,-0.66875994,-0.911522,Vince Guaraldi / Bola Sete,Vince Guaraldi / Bola Sete,Choro,From All Sides
1.6568981,2.6373916,4.6989684,1.1568974,-1.3248137,2.0510695,-1.4528711,-2.7885175,Maurice Chevalier,Maurice Chevalier,Ma Louise,Maurice Chevalier  The Essential Collection Vol 1
-2.7099812,-0.4223884,-0.07093357,0.013563961,1.8643332,0.11300946,0.09164598,1.7790164,Carl Cox Vs Yousef,Carl Cox Vs Yousef,I Want You (Forever),Dave Pearce Best of the Dance Years 1988 - 1992
-1.2806689,2.4620655,5.832184,1.5439024,1.2787635,3.7219026,-2.2398105,-0.022091787,Organized Konfusion,Organized Konfusion,Hate,The Equinox
1.4655341,0.9539827,2.085494,0.3426,-1.061452,0.43331608,-0.5356554,-1.3321772,Martina McBride,Martina McBride,I Can't Stop Loving You,Timeless
0.2192359,0.5836034,2.0838182,0.08551266,0.046551038,0.96883327,-0.5852768,-0.21573184,Horace Andy,Horace Andy,Thank You Lord,Feel Good All Over: Anthology 1970-1976
0.0393698,-0.6363896,-0.54356134,-0.5502848,0.20641382,-0.56851184,0.5873158,0.07509768,Nazz,Nazz,How Can You Call That Beautiful (Stewkey Vocal),13th And Pine
-0.054389294,1.3266057,2.3033597,0.7579326,-0.2540462,1.0286567,-0.96336037,-0.6471289,Tyrone Davis,Tyrone Davis,Cheatin' In The Next Room,Call Tyrone
0.13753851,-0.35904485,-1.04015,-0.39206752,0.0043906644,-0.99777603,0.44246513,0.1148563,Hot Tuna,Hot Tuna,Candy Man,Final Vinyl
0.3159374,2.6043518,3.8646743,1.3897591,-0.43957406,2.3294866,-1.418307,-1.8763529,Richard Burton,Richard Burton,I See The Boys Of Summer,Fifteen Poems By Dylan Thomas
-0.78932726,0.6406793,-0.13572088,0.593723,0.3513549,0.07997041,-0.20422481,0.0294213,Rory Block,Rory Block,Three Is a Crowd,The Early Tapes 1975-1976
-0.2487446,1.3732294,2.705895,0.94384253,0.18353455,1.6193871,-1.0437366,-0.5057007,Boyz II Men,Boyz II Men,On Bended Knee,Legacy
-0.047109548,0.3851872,1.315852,0.08314102,0.07496366,0.62515014,-0.08234392,-0.3451767,Howard Armstrong,Howard Armstrong,My Four Reasons,Louie Bluie Film Soundtrack
1.3499401,0.83934164,1.9523952,-0.057588663,-0.532222,0.61826235,-0.21948276,-1.1588768,Donny Hathaway,Donny Hathaway,Little Girl (LP Version),Donny Hathaway
0.6202828,0.31775942,0.460163,0.1930871,-0.8267525,-0.3782118,-0.038286906,-1.1275454,Miguel Gallardo,Miguel Gallardo,Eternamente Amame,Canciones De Amor De Miguel Gallardo
0.15418528,-0.103054285,0.50940657,-0.5332566,0.30342376,0.0091485325,0.22341682,-0.0031469967,Les Ogres De Barback,Les Ogres De Barback,Niev nietch nievitch,Irfan_ le héros
-1.0685912,0.5102443,1.5568595,0.121166,0.93998647,0.72031397,-0.4000515,0.6156606,DJ X-Change featuring DJ Joey A,DJ X-Change featuring DJ Joey A,Come Over,What up Detroit
-1.792862,-0.60532105,-1.2125945,-0.17006113,1.3149209,-0.48455673,0.4603244,1.1777139,Morel,Morel,Blue Taxi,Peterbilt Angel
1.1211438,0.7352361,1.8827846,-0.03307597,-0.1863911,0.51949483,-0.05995409,-0.9072213,Tony Joe White,Tony Joe White,I Want Love (Tween You & Me) (Album Version),Homemade Ice-Cream
-1.0196365,-0.14176472,-0.4406249,0.23217982,0.4061372,-0.06718891,0.24416801,0.22493334,Wolfmother,Wolfmother,White Feather,White Feather
1.8924695,1.0753883,2.252931,0.02801285,-1.1935401,0.30454606,-0.46190423,-1.9049268,The Roches,The Roches,Christlike Roche,Can We Go Home Now
-0.0502807,0.479529,1.2847528,-0.17781383,0.8270591,1.048696,-0.034793798,-0.080218896,Bob Margolin,Bob Margolin,You Rascal You,In North Carolina
2.2883186,1.116743,2.904319,-0.028742127,-1.0531381,0.7109085,-0.14632758,-1.6935658,Thomas Battenstein,Thomas Battenstein,Sympathy,Wintertime
-1.25645,0.7890789,1.0401194,0.6643899,0.2951609,0.8875608,-0.49190766,0.030237816,Jupiter Rising,Jupiter Rising,They Say (Album),Electropop
-0.73963624,-0.65492135,-1.9334298,-0.87142015,1.3502696,-1.3053974,0.8495758,1.0469369,Dharma Bums,Dharma Bums,Simon's Folly,DUMB: 4-track cassette recordings (1987)
-1.6545082,-0.039231256,-0.23948911,-0.33668622,1.1722108,-0.11784012,0.14089414,1.0033447,Saafir,Saafir,Crawl Before You Ball (Album Version),The Hit List
-0.003244251,-0.3399238,0.10022949,-0.30943948,0.17994751,-0.13322446,0.39331657,-0.031495478,The Verve Pipe,The Verve Pipe,Medicate Myself,Underneath
1.4007417,1.3620794,2.7196236,0.2335248,-0.4814857,1.3173909,-0.36908185,-1.1515093,Bob Neuwirth,Bob Neuwirth,Biding Her Time,99 Monkeys
-0.9713789,0.74298894,0.9340924,0.55159074,0.48849672,0.63824826,-0.7404328,0.2912095,Marvin Sapp,Marvin Sapp,More And More  (LP Version),Nothing Else Matters
1.4993596,-0.30938652,0.47840184,-0.7890503,-0.581162,-0.7088693,0.35566583,-0.9110789,James Hunter,James Hunter,Cowboy Ways,A Tribute to The American Horse
0.96234447,-0.20594718,0.52337027,-0.25897706,-0.65773827,-0.4120548,0.25906813,-0.72506124,Nelson Ned,Nelson Ned,Brasas Vivas,Mis Momentos
1.0691407,0.25179636,0.9720825,-0.26257917,-0.6618701,-0.31097832,-0.14160211,-0.7481611,Mish Mash,Mish Mash,Kolomeyke,Mish Mash_ Le Blues European: Musique Slave Et Klezmer
-0.2808003,0.61090094,1.8039874,-0.10303224,0.8731828,1.1571014,-0.08575572,0.16364262,Cama,Cama,In This Life,In this Life
-1.2742193,0.49924627,0.64050466,0.50303954,0.60815716,0.5877471,-0.4163292,0.29614547,Maxi Priest,Maxi Priest,Groovin' In The Midnight,Best Of Maxi Priest
-1.4335567,-0.39295703,-1.0437334,-0.4508613,1.1519094,-0.49542862,0.501742,0.98660713,Porcupine Tree,Porcupine Tree,Waiting,Signify (Special Edition)
-1.100493,-0.048827298,-0.10830941,-0.096135765,0.51244396,-0.16540328,0.14578705,0.5800404,Ragheb Alama,Ragheb Alama,A'chek Ouyounik (2009 Digital Remaster),Bravo Alayki Rare recording
-0.8076676,-1.2603995,-2.4348328,-1.1877815,1.2493991,-1.6800195,1.0792845,1.0502131,Foo Fighters,Foo Fighters,Hell,In Your Honor
-1.7480664,-0.058987327,0.45759815,0.3216778,1.0391939,0.54765993,-0.19166596,0.931992,Shakira Featuring Wyclef Jean,Shakira Featuring Wyclef Jean,Hips Don't Lie (featuring Wyclef Jean),Essential R&B Hit Selection
0.20651649,-0.4428454,-1.07219,-0.13934714,-0.20809941,-1.120917,0.63773656,-0.5107871,The Avengers,The Avengers,Juoksuhauta-twist (Elämä juoksuhaudoissa),20 Suosikkia / Rautalankaklassikot / Kolme kitaraa
-0.3543811,-0.9417132,-1.6395382,-0.9965293,0.8261794,-1.1034669,0.8212119,0.6044408,Robben Ford,Robben Ford,I Got Over It (Album Version),Talk To Your Daughter
0.8265142,0.17209218,-0.14240101,-0.23165804,-0.76839757,-0.9059387,0.17463607,-1.0490328,Brazilian Tropical Orchestra,Brazilian Tropical Orchestra,One Less Bell To Answer,American Songbook - Bacharach
-2.7289453,-0.24009424,0.576928,-0.25034803,2.4437778,0.9732423,0.0798003,1.7029191,Gil Semedo,Gil Semedo,Festa,Nha Vitória
-1.1483039,-0.70559317,-1.3462644,-0.548161,1.1879243,-0.78452235,0.768251,0.8519311,Soda Stereo,Soda Stereo,Te Hacen Falta Vitaminas,Gira Me Verás Volver
-1.6501987,-1.2779593,-2.4508007,-0.7352056,1.6842605,-1.5685778,1.1978143,1.5769774,Xmilk,Xmilk,Sense And Trick,Scarcity
-1.3968823,0.3671039,2.2563527,0.44984448,0.9837256,1.2723767,-0.7318145,0.87318695,Dolce; Oscar G.,Dolce; Oscar G.,Fire (Oscar G Space Vocal Mix),Fire
-1.2640544,0.24326774,0.6259714,0.19292265,1.3714267,0.60873574,-0.51431125,0.9251565,Britt Nicole,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),Hanging On (Premiere Performance Plus Track)
-2.7418756,-1.0511358,-1.4418509,-0.27063993,2.0092883,-0.41364515,0.6703673,1.7652873,Schizoid,Schizoid,Grim Prospects (Version 2 Remix),Grim Prospects Remixes - Prospects Are Getting Grimmer
0.027573466,0.15262534,1.3060085,0.14900711,0.02293564,0.41526583,-0.29324096,-0.13749437,Toni Braxton Featuring Shaggy,Toni Braxton Featuring Shaggy,Christmas In Jamaica,Snowflakes
0.13498336,-0.087508015,0.2554666,-0.46441126,-0.06401543,-0.38728383,0.10655291,-0.06871529,Perrey And Kingsley,Perrey And Kingsley,Gossippo Perpetuo,The Out Sound From Way In!
-0.532703,2.9824615,6.6172385,1.5082238,1.0547558,3.9177563,-2.2759755,-0.5670009,Sven Tasnadi,Sven Tasnadi,2190 Dias Contigo,El Fuego De Dentro
-0.25331363,0.08978926,0.9725768,-0.17292798,0.5698726,0.43869433,-0.12027669,0.34664,Eddie,Eddie,No Control,No Control
